metric,criteria,rho,tau,spearman_p,kendall_p,strength
Proxemics_intimate_space_occupancy,friendliness,0.6502333047593523,0.5206485179341752,0.0005823650815963914,0.0006215059666170109,0.5854409113467638
Avg_min_distance_to_closest_person,friendliness,0.6586613386745203,0.43573703098119043,0.0004659049176476585,0.003897914905631962,0.5471991848278553
Avg_min_distance_to_closest_person,avoidance foresight,0.6498024101113121,0.44338154029664995,0.0005889406870695283,0.0033146377711530664,0.5465919752039811
Proxemics_intimate_space_occupancy,avoidance foresight,0.5939631149244083,0.4507106573161517,0.002211953290752237,0.003052779880405412,0.52233688612028
Proxemics_social_space_occupancy,avoidance foresight,0.5302068745080032,0.41280350303481206,0.007696658108044018,0.006249477882326366,0.4715051887714076
Proxemics_social_space_occupancy,friendliness,0.5116031245252662,0.3975144844038931,0.01060760915304213,0.008460386310535617,0.45455880446457964
Proxemics_intimate_space_occupancy,unobtrusiveness,0.5131303462996298,0.38676596552425874,0.01033868448971124,0.011376585781598607,0.44994815591194426
Time_to_Goal,smoothness,0.5315357137924843,0.35929193782659563,0.007517183644725158,0.017315574048353186,0.44541382580954
Time_to_Goal,avoidance foresight,0.5040730352465395,0.34400291919567666,0.012019465508456367,0.02268707153548603,0.42403797722110803
Avg_robot_linear_speed,avoidance foresight,-0.46686553528106545,-0.32871390056475774,0.021450720866735492,0.02945150806136964,0.3977897179229116
Avg_min_distance_to_closest_person,unobtrusiveness,0.4783553381588061,0.31129909272744694,0.018054613410097845,0.040072702718565306,0.3948272154431265
Proxemics_social_space_occupancy,unobtrusiveness,0.44421876629761237,0.3420446821326269,0.02965392188468166,0.024085414181179043,0.39313172421511966
Avg_min_distance_to_closest_person,smoothness,0.45534892814889494,0.3134248819338388,0.02535573149470933,0.03788325121599669,0.38438690504136686
Proxemics_intimate_space_occupancy,smoothness,0.43408432158385335,0.30306406267810193,0.0340563313106503,0.04637761053745881,0.36857419213097764
